order_id,customer_id,order_time,payment_method,discount_pct,subtotal_usd,total_usd,country,device,source,order_month,order_year
55,4933,2020-10-12 06:32:03,card,15,19.89,16.91,IN,desktop,paid,2020-10,2020
56,15900,2023-10-20 21:27:35,card,20,116.16,92.93,SG,desktop,paid,2023-10,2023
57,16181,2020-04-15 13:01:50,paypal,20,115.03,92.02,US,mobile,direct,2020-04,2020
58,1727,2021-09-05 10:05:55,wallet,10,81.98,73.78,CA,mobile,paid,2021-09,2021
59,10778,2023-06-22 05:38:53,paypal,0,88.58,88.58,IN,desktop,direct,2023-06,2023
60,8099,2024-08-23 09:05:28,card,0,567.53,567.53,BR,mobile,organic,2024-08,2024
61,9416,2022-06-02 19:34:55,wallet,0,35.74,35.74,FR,mobile,referral,2022-06,2022
62,17593,2022-12-07 09:25:05,card,5,255.56,242.78,JP,desktop,organic,2022-12,2022
63,9297,2024-02-17 20:01:01,paypal,20,20.57,16.46,US,desktop,organic,2024-02,2024
64,4821,2024-09-20 15:10:28,paypal,20,43.27,34.62,US,mobile,organic,2024-09,2024
65,19024,2025-01-28 11:11:04,card,5,34.22,32.51,US,desktop,organic,2025-01,2025
66,9816,2021-05-12 13:28:09,card,0,165.82,165.82,SE,mobile,paid,2021-05,2021
67,16898,2024-12-03 08:46:58,card,0,85.54,85.54,AU,desktop,direct,2024-12,2024
68,11703,2024-05-23 05:14:40,card,10,97.78,88.0,GB,mobile,social,2024-05,2024
69,18014,2025-08-23 16:11:37,card,0,134.41,134.41,FR,mobile,direct,2025-08,2025
70,6404,2022-08-25 00:13:55,card,0,163.23,163.23,FR,mobile,organic,2022-08,2022
71,17829,2023-06-23 02:54:15,paypal,20,79.62,63.7,CA,desktop,organic,2023-06,2023
72,12725,2022-06-25 11:03:07,paypal,20,27.05,21.64,MX,mobile,organic,2022-06,2022
73,18250,2020-07-16 04:49:38,card,0,176.61,176.61,CA,desktop,direct,2020-07,2020
74,6338,2021-04-01 23:07:05,card,0,39.03,39.03,DE,mobile,social,2021-04,2021
75,1865,2023-04-19 22:29:21,paypal,20,524.05,419.24,ZA,mobile,direct,2023-04,2023
76,554,2024-10-28 07:39:52,card,5,534.98,508.23,FR,mobile,email,2024-10,2024
77,16448,2020-10-23 10:02:49,card,5,603.25,573.09,BR,mobile,referral,2020-10,2020
78,7140,2020-08-01 05:56:47,card,0,36.07,36.07,US,mobile,referral,2020-08,2020
79,8567,2021-02-19 19:25:54,card,0,317.8,317.8,CA,mobile,direct,2021-02,2021
80,5958,2025-05-29 07:21:42,wallet,0,29.12,29.12,US,desktop,organic,2025-05,2025
81,1780,2020-11-03 00:53:28,card,0,116.76,116.76,MX,desktop,social,2020-11,2020
82,18691,2020-02-04 02:35:56,card,10,39.46,35.51,IN,mobile,organic,2020-02,2020
83,18482,2020-05-27 09:48:30,card,5,17.19,16.33,CA,mobile,paid,2020-05,2020
84,19039,2023-12-31 15:13:43,card,5,50.15,47.64,SE,desktop,social,2023-12,2023
85,12939,2025-04-28 10:04:16,paypal,0,43.05,43.05,AU,mobile,social,2025-04,2025
86,11675,2023-08-11 01:20:53,card,0,371.39,371.39,SG,tablet,direct,2023-08,2023
87,12175,2023-02-01 21:48:43,card,15,19.89,16.91,MX,mobile,organic,2023-02,2023
88,6032,2021-02-24 05:32:05,wallet,5,312.9,297.25,NL,tablet,organic,2021-02,2021
89,12069,2021-01-27 00:42:31,card,15,93.58,79.54,IN,mobile,referral,2021-01,2021
90,6111,2021-09-02 16:34:09,card,15,66.53,56.55,IN,tablet,referral,2021-09,2021
91,10450,2025-03-05 19:13:17,card,20,151.42,121.14,NL,desktop,email,2025-03,2025
92,9407,2021-04-05 03:53:20,card,20,47.41,37.93,JP,desktop,organic,2021-04,2021
93,5925,2024-11-01 08:53:15,card,10,483.34,435.01,US,mobile,direct,2024-11,2024
94,6369,2023-01-18 13:10:44,card,20,24.33,19.46,DE,tablet,organic,2023-01,2023
95,19484,2025-09-09 12:38:15,card,0,90.96,90.96,MX,desktop,organic,2025-09,2025
96,5418,2022-06-04 03:21:30,card,20,49.06,39.25,DE,mobile,organic,2022-06,2022
97,18429,2022-07-18 19:43:42,card,0,68.47,68.47,PL,mobile,paid,2022-07,2022
98,1729,2022-05-17 14:54:47,card,0,81.86,81.86,US,tablet,organic,2022-05,2022
99,9147,2024-05-19 13:47:01,card,0,61.97,61.97,BR,mobile,organic,2024-05,2024
100,16121,2023-03-29 10:41:47,paypal,5,62.27,59.16,AU,mobile,email,2023-03,2023
101,4443,2021-06-07 04:28:25,wallet,0,168.51,168.51,JP,desktop,organic,2021-06,2021
102,15915,2025-06-11 16:50:25,card,0,179.4,179.4,NL,mobile,organic,2025-06,2025
103,18133,2022-07-30 20:44:35,card,20,7.39,5.91,BR,tablet,organic,2022-07,2022
104,113,2025-04-04 04:21:14,paypal,10,56.54,50.89,AU,mobile,email,2025-04,2025
105,15521,2021-02-10 20:58:58,cod,0,106.94,106.94,US,desktop,direct,2021-02,2021
106,1307,2024-06-29 06:52:44,card,0,12.97,12.97,ES,tablet,organic,2024-06,2024
107,18971,2020-01-26 03:59:12,wallet,0,46.47,46.47,US,mobile,social,2020-01,2020
108,7428,2022-02-08 13:16:08,paypal,15,71.35,60.65,IN,desktop,direct,2022-02,2022
109,14773,2025-07-29 02:08:51,card,0,147.81,147.81,JP,mobile,organic,2025-07,2025
110,18905,2023-09-24 08:14:58,card,0,368.92,368.92,AU,mobile,direct,2023-09,2023
111,1480,2020-06-28 12:34:26,card,0,206.08,206.08,AE,desktop,email,2020-06,2020
112,3677,2024-09-20 01:49:28,card,15,156.85,133.32,GB,mobile,email,2024-09,2024
113,6514,2022-03-14 23:16:23,wallet,5,208.93,198.48,US,desktop,organic,2022-03,2022
114,15139,2022-12-29 01:51:58,card,10,138.36,124.52,JP,mobile,paid,2022-12,2022
115,1901,2024-03-15 17:06:03,wallet,10,581.39,523.25,DE,mobile,email,2024-03,2024
116,19336,2024-08-09 19:16:14,card,15,369.22,313.84,US,desktop,direct,2024-08,2024
117,2852,2021-10-03 21:38:49,card,15,38.13,32.41,US,mobile,social,2021-10,2021
118,14482,2023-02-09 07:05:52,card,0,53.51,53.51,ES,desktop,organic,2023-02,2023
119,16995,2020-02-22 23:43:33,card,15,34.21,29.08,GB,desktop,referral,2020-02,2020
120,16412,2024-11-28 06:49:40,card,5,168.22,159.81,GB,mobile,direct,2024-11,2024
121,17992,2025-01-09 11:20:41,card,0,483.74,483.74,US,mobile,direct,2025-01,2025
122,12438,2021-08-25 02:21:44,paypal,0,169.54,169.54,US,desktop,email,2021-08,2021
123,3813,2022-09-11 20:03:18,card,0,47.58,47.58,GB,mobile,organic,2022-09,2022
124,11445,2025-07-31 00:11:40,card,0,19.35,19.35,BR,desktop,paid,2025-07,2025
125,4417,2022-05-08 02:05:14,card,0,13.71,13.71,DE,mobile,email,2022-05,2022
126,11586,2020-12-10 01:03:45,card,20,39.42,31.54,US,mobile,referral,2020-12,2020
127,12646,2024-10-17 18:31:30,paypal,0,11.74,11.74,MX,mobile,organic,2024-10,2024
128,5044,2020-08-08 17:56:53,card,0,121.24,121.24,SG,mobile,email,2020-08,2020
129,3043,2020-01-26 00:52:55,card,0,119.71,119.71,NL,tablet,direct,2020-01,2020
130,13517,2023-01-01 21:58:41,card,5,66.01,62.71,JP,desktop,referral,2023-01,2023
131,10258,2022-05-16 11:26:04,card,10,33.09,29.78,US,mobile,organic,2022-05,2022
132,12606,2021-01-24 22:28:45,card,15,21.83,18.56,SG,mobile,direct,2021-01,2021
133,12806,2025-05-07 05:04:16,wallet,15,94.89,80.66,BR,desktop,direct,2025-05,2025
134,528,2024-02-19 00:59:56,card,5,107.54,102.16,US,desktop,organic,2024-02,2024
135,12124,2023-12-13 16:53:59,card,5,250.28,237.77,MX,mobile,direct,2023-12,2023
136,12462,2024-12-26 10:15:21,card,15,44.8,38.08,GB,tablet,organic,2024-12,2024
137,4119,2025-07-17 05:55:44,card,0,12.23,12.23,BR,desktop,direct,2025-07,2025
138,9724,2025-06-02 08:09:03,card,20,28.01,22.41,IN,mobile,referral,2025-06,2025
139,12995,2024-07-11 00:21:02,card,0,20.02,20.02,MX,desktop,organic,2024-07,2024
140,8089,2023-05-29 03:53:19,card,0,86.84,86.84,US,mobile,organic,2023-05,2023
141,18709,2024-02-10 00:08:48,wallet,0,129.2,129.2,MX,mobile,organic,2024-02,2024
142,16959,2021-05-09 09:40:02,card,20,270.55,216.44,DE,desktop,referral,2021-05,2021
143,18702,2024-10-20 23:31:18,wallet,0,43.9,43.9,US,desktop,direct,2024-10,2024
144,11051,2025-04-12 16:58:41,cod,15,162.23,137.9,MX,mobile,referral,2025-04,2025
145,16624,2020-08-22 16:31:47,card,10,49.46,44.51,AE,mobile,referral,2020-08,2020
146,13481,2022-09-14 08:03:49,paypal,0,45.43,45.43,SG,mobile,referral,2022-09,2022
147,4269,2024-04-14 06:56:50,paypal,0,171.77,171.77,MX,mobile,direct,2024-04,2024
148,7579,2022-02-15 22:06:23,card,0,126.04,126.04,JP,mobile,organic,2022-02,2022
149,18382,2025-04-27 17:04:03,card,0,153.59,153.59,DE,desktop,organic,2025-04,2025
150,6720,2020-02-29 22:59:04,card,5,22.96,21.81,ES,desktop,organic,2020-02,2020
151,17527,2023-01-11 17:34:29,paypal,0,1356.17,1356.17,NL,mobile,organic,2023-01,2023
152,18494,2024-10-12 02:11:32,card,0,6.43,6.43,DE,mobile,paid,2024-10,2024
153,17613,2021-03-06 07:55:08,card,0,115.2,115.2,US,desktop,social,2021-03,2021
154,14066,2022-02-13 10:52:09,cod,5,17.27,16.41,NL,tablet,paid,2022-02,2022
155,18763,2025-05-11 15:09:53,card,0,43.16,43.16,NL,desktop,social,2025-05,2025
156,653,2020-09-12 22:09:56,paypal,20,338.19,270.55,MX,desktop,organic,2020-09,2020
157,4100,2023-04-30 11:55:49,card,0,332.09,332.09,IN,mobile,organic,2023-04,2023
158,16856,2023-12-27 18:16:48,card,5,244.46,232.24,US,desktop,paid,2023-12,2023
159,17670,2023-09-15 15:39:44,card,15,147.52,125.39,CA,desktop,direct,2023-09,2023
160,10448,2020-07-19 08:01:30,card,0,10.23,10.23,FR,mobile,direct,2020-07,2020
161,13862,2020-05-30 05:50:18,wallet,5,24.77,23.53,US,mobile,social,2020-05,2020
162,17505,2022-05-18 03:20:03,card,15,367.56,312.43,SG,desktop,social,2022-05,2022
163,13394,2022-02-07 12:26:41,card,5,119.2,113.24,DE,mobile,direct,2022-02,2022
164,1827,2024-02-19 07:59:20,wallet,0,287.18,287.18,CA,mobile,paid,2024-02,2024
165,15569,2025-03-31 04:24:37,card,20,10.04,8.03,US,desktop,organic,2025-03,2025
166,9753,2025-04-14 05:12:01,card,20,61.32,49.06,ES,desktop,organic,2025-04,2025
167,3519,2024-09-24 01:27:35,card,20,8.66,6.93,MX,mobile,organic,2024-09,2024
168,17264,2024-03-04 22:21:26,wallet,10,163.75,147.38,AU,tablet,social,2024-03,2024
169,17104,2020-10-20 09:10:57,card,15,42.51,36.13,DE,mobile,direct,2020-10,2020
170,2631,2023-10-23 03:01:28,paypal,0,26.76,26.76,IN,desktop,organic,2023-10,2023
171,15784,2021-12-29 15:37:45,paypal,0,135.25,135.25,GB,mobile,organic,2021-12,2021
172,17503,2021-11-11 06:22:19,card,20,74.0,59.2,JP,mobile,organic,2021-11,2021
173,13909,2020-01-18 16:20:49,card,15,92.9,78.97,JP,desktop,organic,2020-01,2020
174,11361,2024-12-15 15:38:21,card,20,7.22,5.78,CA,desktop,organic,2024-12,2024
175,6434,2025-08-28 19:56:25,paypal,15,26.68,22.68,CA,mobile,direct,2025-08,2025
176,5189,2020-12-02 01:28:47,card,10,117.96,106.16,MX,mobile,paid,2020-12,2020
177,1968,2020-04-11 07:43:25,cod,10,269.14,242.23,JP,desktop,organic,2020-04,2020
178,12659,2022-08-07 00:19:14,card,0,8.39,8.39,DE,tablet,direct,2022-08,2022
179,10120,2022-06-01 14:11:19,card,5,129.21,122.75,MX,mobile,email,2022-06,2022
180,14849,2024-04-15 12:59:48,wallet,0,57.62,57.62,CA,mobile,organic,2024-04,2024
181,13919,2024-12-29 08:14:10,card,20,340.42,272.34,ZA,tablet,direct,2024-12,2024
182,3702,2023-12-04 17:55:10,card,15,46.78,39.76,CA,mobile,direct,2023-12,2023
183,14228,2020-03-09 17:48:23,card,0,317.43,317.43,US,mobile,organic,2020-03,2020
184,15747,2021-12-18 23:13:26,paypal,0,58.99,58.99,GB,tablet,direct,2021-12,2021
185,16329,2024-12-13 18:01:43,cod,20,153.38,122.7,PL,desktop,organic,2024-12,2024
186,15864,2022-09-08 16:26:49,card,0,55.05,55.05,AU,mobile,direct,2022-09,2022
187,12665,2021-03-13 02:39:13,card,0,223.67,223.67,SG,desktop,organic,2021-03,2021
188,14689,2023-09-30 10:13:16,paypal,0,313.47,313.47,ES,mobile,paid,2023-09,2023
189,10663,2022-09-23 20:59:29,card,0,180.33,180.33,GB,mobile,paid,2022-09,2022
190,3296,2023-04-04 10:45:44,wallet,20,183.25,146.6,FR,mobile,direct,2023-04,2023
191,12964,2021-09-04 10:09:10,card,20,38.71,30.97,ZA,desktop,paid,2021-09,2021
192,16025,2023-10-19 10:20:13,card,0,89.95,89.95,DE,desktop,paid,2023-10,2023
193,19236,2023-01-15 22:59:30,card,15,138.7,117.89,US,mobile,direct,2023-01,2023
194,10299,2022-06-07 10:27:23,card,5,382.89,363.75,PL,mobile,social,2022-06,2022
195,9933,2025-04-21 19:12:13,paypal,10,201.56,181.4,ES,mobile,organic,2025-04,2025
196,4934,2021-01-23 14:07:29,card,0,25.17,25.17,IN,tablet,paid,2021-01,2021
197,595,2020-04-18 23:44:24,paypal,15,73.09,62.13,ZA,mobile,direct,2020-04,2020
198,5303,2021-08-02 09:10:23,card,5,77.64,73.76,IN,mobile,social,2021-08,2021
199,14376,2020-07-19 07:46:37,card,0,44.44,44.44,US,mobile,referral,2020-07,2020
200,6960,2021-01-21 02:11:25,card,5,6.96,6.61,GB,mobile,email,2021-01,2021
201,1304,2022-09-07 13:34:13,cod,0,79.51,79.51,MX,mobile,direct,2022-09,2022
202,1722,2023-01-04 17:44:56,card,20,142.71,114.17,PL,desktop,referral,2023-01,2023
203,13058,2020-10-22 22:11:54,card,20,134.61,107.69,IN,desktop,social,2020-10,2020
204,3496,2020-09-17 20:57:37,card,20,44.8,35.84,US,mobile,referral,2020-09,2020
205,17843,2025-07-31 15:07:27,card,15,43.65,37.1,ES,mobile,social,2025-07,2025
206,18921,2020-10-02 13:42:19,card,0,121.81,121.81,US,desktop,organic,2020-10,2020
207,19602,2020-02-23 09:55:46,wallet,5,133.43,126.76,AU,desktop,direct,2020-02,2020
208,17794,2024-04-23 07:49:39,card,5,211.86,201.27,AU,mobile,direct,2024-04,2024
209,8090,2021-07-05 01:09:20,card,10,109.39,98.45,US,mobile,email,2021-07,2021
210,11539,2025-02-20 22:56:02,card,0,132.92,132.92,BR,desktop,direct,2025-02,2025
211,18382,2023-02-04 18:46:45,card,15,416.06,353.65,DE,mobile,social,2023-02,2023
212,18754,2020-12-28 06:22:12,card,15,165.54,140.71,BR,desktop,referral,2020-12,2020
213,12884,2023-04-18 19:21:42,card,5,31.09,29.54,IN,mobile,email,2023-04,2023
214,11026,2024-07-18 22:45:55,card,5,31.93,30.33,BR,mobile,direct,2024-07,2024
215,15510,2020-01-30 12:48:19,card,5,220.35,209.33,GB,mobile,social,2020-01,2020
216,510,2021-09-30 09:51:13,cod,15,36.86,31.33,CA,mobile,paid,2021-09,2021
217,19803,2024-12-21 09:09:02,card,0,12.64,12.64,JP,desktop,organic,2024-12,2024
218,1013,2025-05-23 18:30:51,card,0,109.26,109.26,MX,mobile,organic,2025-05,2025
219,16754,2021-10-09 00:05:25,card,0,117.78,117.78,GB,mobile,direct,2021-10,2021
220,10528,2021-05-30 20:30:09,paypal,20,17.83,14.26,AU,tablet,email,2021-05,2021
221,9207,2025-04-24 16:44:39,card,0,82.21,82.21,CA,desktop,organic,2025-04,2025
222,12705,2023-10-10 23:54:41,card,0,168.25,168.25,BR,mobile,organic,2023-10,2023
223,2760,2023-06-05 05:42:15,card,10,43.05,38.74,AU,mobile,direct,2023-06,2023
224,19847,2020-02-05 03:34:21,card,15,59.24,50.35,DE,desktop,social,2020-02,2020
225,902,2021-03-27 19:07:46,card,15,64.68,54.98,NL,desktop,organic,2021-03,2021
226,4535,2023-10-04 03:11:36,card,0,228.52,228.52,GB,mobile,organic,2023-10,2023
227,12636,2023-12-20 15:47:20,cod,0,39.67,39.67,GB,mobile,social,2023-12,2023
228,12419,2023-08-03 05:23:52,paypal,15,330.44,280.87,DE,mobile,direct,2023-08,2023
229,17789,2024-12-30 16:16:34,card,10,84.91,76.42,DE,mobile,direct,2024-12,2024
230,8155,2021-01-09 17:53:44,card,0,28.98,28.98,BR,desktop,direct,2021-01,2021
231,14464,2021-01-13 13:25:19,card,10,12.64,11.38,DE,desktop,organic,2021-01,2021
232,9708,2022-07-01 05:16:18,card,0,80.86,80.86,ZA,tablet,social,2022-07,2022
233,5385,2025-06-29 22:40:32,card,0,25.66,25.66,GB,desktop,email,2025-06,2025
234,9340,2024-12-26 17:11:28,card,5,8.15,7.74,BR,mobile,social,2024-12,2024
235,6103,2022-09-23 12:00:45,cod,5,197.17,187.31,NL,desktop,organic,2022-09,2022
236,13949,2020-12-17 23:54:01,cod,5,200.25,190.24,BR,desktop,direct,2020-12,2020
237,4867,2025-04-28 11:39:53,wallet,20,30.44,24.35,SE,desktop,paid,2025-04,2025
238,6734,2021-06-22 01:21:50,cod,15,200.66,170.56,US,desktop,direct,2021-06,2021
239,16522,2022-10-22 15:24:02,card,20,26.35,21.08,US,tablet,organic,2022-10,2022
240,2800,2022-03-22 01:37:51,card,0,102.82,102.82,DE,desktop,organic,2022-03,2022
241,16002,2020-11-21 20:38:42,card,15,92.29,78.45,PL,mobile,organic,2020-11,2020
242,5224,2024-07-27 07:25:31,card,20,111.44,89.15,BR,desktop,organic,2024-07,2024
243,1444,2020-11-21 08:37:53,wallet,0,132.52,132.52,SE,mobile,referral,2020-11,2020
244,10252,2024-06-15 16:36:10,card,20,31.25,25.0,ES,desktop,organic,2024-06,2024
245,3177,2025-03-06 00:01:16,card,15,479.89,407.91,IN,mobile,email,2025-03,2025
246,11073,2022-04-09 19:56:36,card,0,96.42,96.42,MX,mobile,organic,2022-04,2022
247,1115,2025-06-18 09:12:13,card,15,20.23,17.2,IN,mobile,direct,2025-06,2025
248,1189,2020-12-14 18:28:08,cod,15,311.94,265.15,NL,desktop,direct,2020-12,2020
249,5761,2021-10-20 21:20:21,card,20,70.83,56.66,CA,mobile,paid,2021-10,2021
250,10502,2023-03-25 00:42:02,card,10,997.99,898.19,FR,mobile,direct,2023-03,2023
251,11971,2025-02-09 19:18:30,card,10,38.18,34.36,GB,mobile,organic,2025-02,2025
252,14132,2020-04-28 04:43:31,paypal,0,194.13,194.13,GB,desktop,organic,2020-04,2020
253,9617,2025-08-05 13:12:50,card,15,1237.93,1052.24,ZA,desktop,organic,2025-08,2025
254,3116,2022-09-22 23:03:51,card,10,33.8,30.42,FR,mobile,organic,2022-09,2022
255,5754,2020-02-01 20:02:13,cod,20,292.3,233.84,GB,mobile,organic,2020-02,2020
256,11816,2021-06-12 19:20:48,paypal,15,11.72,9.96,AE,mobile,organic,2021-06,2021
257,4641,2024-03-16 21:01:35,card,10,45.85,41.27,SE,mobile,organic,2024-03,2024
258,14395,2023-06-16 14:56:38,card,10,94.15,84.73,BR,mobile,organic,2023-06,2023
259,7761,2020-01-14 05:28:45,card,15,64.73,55.02,US,desktop,direct,2020-01,2020
260,4631,2021-04-16 13:34:26,card,0,760.25,760.25,SG,mobile,organic,2021-04,2021
261,11826,2024-02-13 04:33:40,card,15,105.82,89.95,JP,mobile,direct,2024-02,2024
262,6055,2024-11-11 18:37:23,card,15,32.54,27.66,IN,mobile,organic,2024-11,2024
263,847,2022-01-05 03:03:42,card,5,61.51,58.43,ZA,mobile,email,2022-01,2022
264,10715,2022-03-18 02:31:11,card,0,171.64,171.64,CA,desktop,direct,2022-03,2022
265,12058,2024-06-26 03:54:11,card,5,49.92,47.42,US,tablet,direct,2024-06,2024
266,8689,2023-10-29 11:10:51,card,20,233.63,186.9,SG,mobile,paid,2023-10,2023
267,15127,2021-09-04 21:07:24,card,10,31.2,28.08,AU,mobile,paid,2021-09,2021
268,17986,2020-12-25 00:44:15,cod,5,45.7,43.41,US,mobile,organic,2020-12,2020
269,14283,2025-10-21 04:32:11,card,0,600.03,600.03,ES,mobile,organic,2025-10,2025
270,12854,2023-04-06 02:24:05,wallet,20,761.24,608.99,NL,mobile,paid,2023-04,2023
271,3879,2021-10-16 20:51:55,card,20,31.71,25.37,SE,desktop,direct,2021-10,2021
272,4986,2023-04-05 01:54:04,card,10,550.64,495.58,SG,mobile,email,2023-04,2023
273,19945,2020-12-11 06:43:18,card,10,202.67,182.4,IN,tablet,referral,2020-12,2020
274,18940,2022-05-23 22:43:57,card,0,224.95,224.95,FR,mobile,organic,2022-05,2022
275,17297,2023-03-24 00:53:16,card,20,101.54,81.23,CA,mobile,organic,2023-03,2023
276,9833,2024-03-03 21:57:08,card,0,53.46,53.46,FR,desktop,direct,2024-03,2024
277,7778,2024-10-05 09:26:19,wallet,5,64.99,61.74,SG,mobile,email,2024-10,2024
278,173,2021-08-09 23:42:53,card,20,148.11,118.49,AU,mobile,paid,2021-08,2021
279,2503,2021-09-20 07:17:56,card,0,78.85,78.85,US,mobile,direct,2021-09,2021
280,4859,2024-05-20 17:37:19,card,20,282.65,226.12,BR,mobile,organic,2024-05,2024
281,13066,2025-10-05 21:23:16,paypal,0,108.0,108.0,SG,desktop,direct,2025-10,2025
282,8259,2025-07-19 12:35:06,wallet,20,36.42,29.14,BR,desktop,social,2025-07,2025
283,18996,2021-01-17 06:10:06,card,20,10.64,8.51,US,mobile,paid,2021-01,2021
284,9911,2020-08-03 02:22:51,card,0,126.96,126.96,FR,tablet,direct,2020-08,2020
285,5950,2021-04-12 08:18:45,wallet,15,13.67,11.62,IN,mobile,direct,2021-04,2021
286,878,2025-03-27 00:14:57,card,5,189.68,180.2,SE,mobile,social,2025-03,2025
287,14110,2023-11-21 04:27:14,card,0,119.86,119.86,DE,tablet,direct,2023-11,2023
288,7260,2024-01-18 23:59:26,card,0,42.11,42.11,MX,mobile,organic,2024-01,2024
